rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/success_rate,train/learning_rate,train/loss,train/n_updates
111.88,0.05,673475,5176,-654.6560009600001,2160,311,0.0,0.0001,0.032436832785606384,155868
111.96,0.05,673894,5180,-654.80284892,2161,311,0.0,0.0001,0.010831085965037346,155973
112.24,0.05,674358,5184,-654.99540599,2163,311,0.0,0.0001,13.691282272338867,156089
111.29,0.05,674761,5188,-654.11507848,2164,311,0.0,0.0001,0.007713878061622381,156190
112.25,0.05,675238,5192,-655.04137576,2166,311,0.0,0.0001,0.012738613411784172,156309
111.99,0.05,675666,5196,-654.74436895,2168,311,0.0,0.0001,0.01829354837536812,156416
112.01,0.05,676112,5200,-654.65490461,2169,311,0.0,0.0001,14.224360466003418,156527
112.14,0.05,676562,5204,-654.7736998300002,2171,311,0.0,0.0001,0.00982622429728508,156640
111.98,0.05,677029,5208,-654.56183693,2172,311,0.0,0.0001,13.746771812438965,156757
111.8,0.05,677464,5212,-654.1789229099999,2174,311,0.0,0.0001,0.010101194493472576,156865
111.56,0.05,677915,5216,-653.89419703,2175,311,0.0,0.0001,0.009889896959066391,156978
111.23,0.05,678279,5220,-653.57233745,2177,311,0.0,0.0001,0.5589250326156616,157069
111.14,0.05,678719,5224,-653.53114515,2178,311,0.0,0.0001,0.011234113946557045,157179
111.23,0.05,679128,5228,-653.69173903,2180,311,0.0,0.0001,0.0037619839422404766,157281
112.17,0.05,679619,5232,-654.42384817,2181,311,0.0,0.0001,0.018079198896884918,157404
112.35,0.05,680076,5236,-654.4085425400001,2183,311,0.0,0.0001,0.018002279102802277,157518
112.0,0.05,680478,5240,-654.21756498,2184,311,0.0,0.0001,0.021601151674985886,157619
110.95,0.05,680903,5244,-653.3118835400002,2186,311,0.0,0.0001,0.004605454858392477,157725
109.56,0.05,681288,5248,-652.08880568,2187,311,0.0,0.0001,14.382415771484375,157821
109.81,0.05,681746,5252,-647.19594052,2189,311,0.01,0.0001,0.0073110805824398994,157936
109.96,0.05,682215,5256,-647.3371641,2190,311,0.01,0.0001,0.05763615667819977,158053
109.69,0.05,682620,5260,-646.89000271,2192,311,0.01,0.0001,0.0077753388322889805,158154
109.55,0.05,683107,5264,-646.8459590599999,2194,311,0.01,0.0001,13.9156494140625,158276
109.44,0.05,683530,5268,-646.8037686099999,2195,311,0.01,0.0001,14.659536361694336,158382
109.54,0.05,684005,5272,-647.02102032,2197,311,0.01,0.0001,14.414262771606445,158501
109.63,0.05,684438,5276,-647.11366711,2198,311,0.01,0.0001,0.013155457563698292,158609
109.45,0.05,684839,5280,-646.8573217500001,2200,311,0.01,0.0001,0.007621033117175102,158709
109.62,0.05,685320,5284,-646.9010882200001,2201,311,0.01,0.0001,0.016959169879555702,158829
109.53,0.05,685714,5288,-646.8261543400001,2203,311,0.01,0.0001,14.385153770446777,158928
109.57,0.05,686195,5292,-646.83439223,2204,311,0.01,0.0001,0.017344793304800987,159048
109.55,0.05,686621,5296,-646.80756027,2206,311,0.01,0.0001,0.005960063077509403,159155
109.87,0.05,687099,5300,-647.25242989,2208,311,0.01,0.0001,0.010904008522629738,159274
110.4,0.05,687602,5304,-647.79591904,2209,311,0.01,0.0001,0.00960602331906557,159400
110.32,0.05,688061,5308,-647.8609839999999,2211,311,0.01,0.0001,0.015969358384609222,159515
110.27,0.05,688491,5312,-647.91244518,2212,311,0.01,0.0001,0.007996694184839725,159622
110.96,0.05,689011,5316,-648.54405056,2214,311,0.01,0.0001,0.005763514433056116,159752
111.64,0.05,689443,5320,-649.2713875799999,2216,311,0.01,0.0001,0.007999613881111145,159860
111.9,0.05,689909,5324,-649.45472532,2217,311,0.01,0.0001,0.00680652866140008,159977
112.98,0.05,690426,5328,-645.5002545899999,2219,311,0.02,0.0001,13.818512916564941,160106
113.13,0.05,690932,5332,-640.7030192699999,2221,311,0.03,0.0001,14.209494590759277,160232
113.47,0.05,691423,5336,-640.97831309,2222,311,0.03,0.0001,15.047191619873047,160355
114.09,0.05,691887,5340,-641.4601357300002,2224,311,0.03,0.0001,0.0035112272016704082,160471
114.25,0.05,692328,5344,-641.66081707,2225,311,0.03,0.0001,0.01505298912525177,160581
115.09,0.05,692797,5348,-642.43386134,2227,311,0.03,0.0001,0.009443748742341995,160699
115.41,0.05,693287,5352,-647.7467776200001,2229,310,0.02,0.0001,14.203485488891602,160821
115.35,0.05,693750,5356,-647.76542882,2230,310,0.02,0.0001,2.3592963218688965,160937
115.91,0.05,694211,5360,-648.5214443,2232,310,0.02,0.0001,0.017915504053235054,161052
116.01,0.05,694708,5364,-648.53479165,2234,310,0.02,0.0001,0.007155552040785551,161176
115.95,0.05,695125,5368,-648.33418396,2235,310,0.02,0.0001,0.015273410826921463,161281
116.9,0.05,695695,5372,-649.0719741500001,2237,310,0.02,0.0001,0.014452725648880005,161423
118.36,0.05,696274,5376,-645.2103947,2239,310,0.03,0.0001,0.008985874243080616,161568
